"Date","Price","Open","High","Low","Change %"
"01/07/2011","110.29","110.29","110.29","110.29","3.43%"
"01/06/2011","106.63","106.63","106.63","106.63","0.62%"
"01/05/2011","105.97","105.97","105.97","105.97","0.63%"
"01/04/2011","105.31","105.31","105.31","105.31","-1.33%"
"01/03/2011","106.73","106.73","106.73","106.73","-2.56%"
"12/31/2010","109.53","109.53","109.53","109.53","-3.37%"
"12/30/2010","113.35","113.35","113.35","113.35","-0.59%"
"12/29/2010","114.02","114.02","114.02","114.02","-1.76%"
"12/28/2010","116.06","116.06","116.06","116.06","0.00%"
"12/27/2010","116.06","116.06","116.06","116.06","2.08%"
"12/24/2010","113.70","113.70","113.70","113.70","-1.47%"
"12/23/2010","115.40","115.40","115.40","115.40","0.58%"
"12/22/2010","114.73","114.73","114.73","114.73","-0.87%"
"12/21/2010","115.74","115.74","115.74","115.74","-1.42%"
"12/20/2010","117.41","117.41","117.41","117.41","2.55%"
"12/17/2010","114.49","114.49","114.49","114.49","-0.87%"
"12/16/2010","115.49","115.49","115.49","115.49","1.16%"
"12/15/2010","114.17","114.17","114.17","114.17","2.39%"
"12/14/2010","111.51","111.51","111.51","111.51","0.90%"
"12/13/2010","110.51","110.51","110.51","110.51","-0.32%"
"12/10/2010","110.87","110.87","110.87","110.87","0.60%"
"12/09/2010","110.21","110.21","110.21","110.21","1.53%"
"12/08/2010","108.55","108.55","108.55","108.55","2.83%"
"12/07/2010","105.56","105.56","105.56","105.56","-0.94%"
"12/06/2010","106.56","106.56","106.56","106.56","-4.22%"
"12/03/2010","111.25","111.25","111.25","111.25","-0.90%"
"12/02/2010","112.26","112.26","112.26","112.26","-4.99%"
"12/01/2010","118.15","118.15","118.15","118.15","-3.41%"
"11/30/2010","122.32","122.32","122.32","122.32","2.50%"
"11/29/2010","119.34","119.34","119.34","119.34","3.37%"
"11/26/2010","115.45","115.45","115.45","115.45","2.20%"
"11/25/2010","112.97","112.97","112.97","112.97","-0.01%"
"11/24/2010","112.98","112.98","112.98","112.98","-1.46%"
"11/23/2010","114.65","114.65","114.65","114.65","4.55%"
"11/22/2010","109.66","109.66","109.66","109.66","1.75%"
"11/19/2010","107.77","107.77","107.77","107.77","1.01%"
"11/18/2010","106.69","106.69","106.69","106.69","-2.15%"
"11/17/2010","109.03","109.03","109.03","109.03","-0.91%"
"11/16/2010","110.03","110.03","110.03","110.03","7.13%"
"11/15/2010","102.71","102.71","102.71","102.71","-1.61%"
"11/12/2010","104.39","104.39","104.39","104.39","3.28%"
"11/11/2010","101.07","101.07","101.07","101.07","-1.14%"
"11/10/2010","102.24","102.24","102.24","102.24","4.42%"
"11/09/2010","97.91","97.91","97.91","97.91","1.37%"
"11/08/2010","96.59","96.59","96.59","96.59","4.30%"
"11/05/2010","92.61","92.61","92.61","92.61","-1.43%"
"11/04/2010","93.95","93.95","93.95","93.95","-2.43%"
"11/03/2010","96.29","96.29","96.29","96.29","-1.70%"
"11/02/2010","97.96","97.96","97.96","97.96","-1.68%"
"11/01/2010","99.63","99.63","99.63","99.63","-0.52%"
"10/29/2010","100.15","100.15","100.15","100.15","0.66%"
"10/28/2010","99.49","99.49","99.49","99.49","-0.01%"
"10/27/2010","99.50","99.50","99.50","99.50","0.77%"
"10/26/2010","98.74","98.74","98.74","98.74","0.67%"
"10/25/2010","98.08","98.08","98.08","98.08","-2.02%"
"10/22/2010","100.10","100.10","100.10","100.10","-1.32%"
"10/21/2010","101.44","101.44","101.44","101.44","-0.01%"
"10/20/2010","101.45","101.45","101.45","101.45","-0.98%"
"10/19/2010","102.45","102.45","102.45","102.45","3.70%"
